"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","symbol","ADZ83-1.1","ADZ83-2.1","ADZ83-3.1","ADZ74-1.1","ADZ74-2.1","ADZ74-3.1"
"WBGene00004287",0.5155585,-0.2317858,0.311079,-0.6570155,0.5111709,NA,"NotSig","rac-2",0,0,0,0,0,3.093351
"WBGene00010528",0.5217055,-0.1572855,0.3084276,-0.6353584,0.5251947,NA,"NotSig","K03D3.2",0,0,0,0,3.130233,0
"WBGene00007960",0.1550133,-0.08458844,0.3084276,-0.2742611,0.783884,NA,"NotSig","C35D6.3",0,0,0,0.9300798,0,0
"WBGene00050537",0.3098935,0.1335028,0.3084276,0.4201782,0.6743553,NA,"NotSig","21ur-1068",0,1.859361,0,0,0,0
"WBGene00047596",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-4339",1.06121,0,0,0,0,0
"WBGene00007962",0.6199201,-0.009574069,0.3406718,-0.02591157,0.9793279,NA,"NotSig","C35D6.5",0,1.859361,0,1.86016,0,0
"WBGene00012420",0.5842478,-0.02405392,0.3368191,-0.06570737,0.9476108,NA,"NotSig","Y7A9D.1",0,0,1.645327,1.86016,0,0
"WBGene00013418",0.7568977,0.3269801,0.3653795,0.9035977,0.3662088,NA,"NotSig","Y65A5A.1",0,3.718723,0.8226635,0,0,0
"WBGene00220129",0.2608528,-0.08458844,0.3084276,-0.2742611,0.783884,NA,"NotSig","Y10G11A.91",0,0,0,0,1.565117,0
"WBGene00012159",0.3100266,-0.1572855,0.3084276,-0.4820193,0.6297922,NA,"NotSig","VY10G11R.1",0,0,0,1.86016,0,0
"WBGene00013098",1.130148,-0.1898007,0.4338666,-0.4502844,0.6525054,NA,"NotSig","Y51H4A.1",2.12242,0,0,0,1.565117,3.093351
"WBGene00219244",0.3537366,0.1335028,0.3084276,0.4631437,0.6432614,NA,"NotSig","Y51H4A.938",2.12242,0,0,0,0,0
"WBGene00220175",0.7650684,0.3353868,0.3690285,0.918982,0.358105,NA,"NotSig","Y51H4A.939",2.12242,0,2.467991,0,0,0
"WBGene00013100",1.399538,-0.7146968,0.4712364,-1.687004,0.09160262,NA,"NotSig","zip-7",0,0,0,3.720319,3.130233,1.546676
"WBGene00050106",0.1768683,0.06080571,0.3084276,0.1971434,0.8437153,NA,"NotSig","21ur-1909",1.06121,0,0,0,0,0
"WBGene00165847",0.2608528,-0.08458844,0.3084276,-0.2742611,0.783884,NA,"NotSig","21ur-13057",0,0,0,0,1.565117,0
"WBGene00173035",0.2608528,-0.08458844,0.3084276,-0.2742611,0.783884,NA,"NotSig","21ur-6687",0,0,0,0,1.565117,0
"WBGene00014580",0.2577793,-0.1572855,0.3084276,-0.4368351,0.6622309,NA,"NotSig","Y51H4A.t2",0,0,0,0,0,1.546676
